acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.0232,0.7090000000000001,246495.0,0.757,01wpPOPqQ3XyS6hBN00HfK,0.335,1.0,0.0791,-6.064,1.0,0.0356,123.006,4.0,0.166
0.00718,0.662,200156.0,0.72,2qpqw7z7fJIQIQQlUdmf82,5.629999999999999e-05,5.0,0.149,-5.822,0.0,0.0378,95.97,4.0,0.0912
0.153,0.8240000000000001,294915.0,0.765,0nD2HHezOd08mhvmgnjh3I,0.36200000000000004,5.0,0.16399999999999998,-6.662999999999999,0.0,0.054000000000000006,123.995,4.0,0.201
0.0771,0.5539999999999999,262867.0,0.72,28FOofHvKgLp5bng45jzVY,0.0625,7.0,0.11900000000000001,-8.252,0.0,0.0611,139.945,4.0,0.17800000000000002
0.0988,0.775,197476.0,0.45899999999999996,2cY7TyNIfibiMIK7jFgDxL,0.00035299999999999996,2.0,0.203,-6.3,1.0,0.0358,107.98899999999999,4.0,0.293
0.426,0.695,233455.0,0.634,0vPytS8TMGZhqEbgLDbmZz,0.0,0.0,0.0843,-5.774,0.0,0.0429,110.025,4.0,0.574
0.0419,0.636,187118.0,0.8109999999999999,1qggPWYf4aNcvpvLMov6kk,0.0,11.0,0.0939,-4.833,0.0,0.0967,62.518,4.0,0.28800000000000003
0.0873,0.642,172187.0,0.48700000000000004,4ayFDlAZCqc74jnuCrH2eC,0.0,7.0,0.0992,-10.039,0.0,0.10300000000000001,135.995,4.0,0.392
0.00302,0.608,266667.0,0.5429999999999999,0iex8CRAfKNIGMIxtz20bq,0.00292,1.0,0.099,-6.24,1.0,0.0313,144.053,4.0,0.187
0.0189,0.8909999999999999,228739.0,0.512,6mdSUR1YTgIe9k50sY2pcK,0.13,6.0,0.107,-9.071,0.0,0.0615,108.958,4.0,0.07
0.013000000000000001,0.853,206693.0,0.56,0KKkJNfGyhkQ5aFogxQAPU,0.0,1.0,0.0944,-4.961,1.0,0.0406,134.066,4.0,0.86
0.43200000000000005,0.53,197318.0,0.36200000000000004,3VvHDklmRhNUamdXbrrqhF,0.7659999999999999,11.0,0.342,-10.206,0.0,0.16899999999999998,81.204,4.0,0.33799999999999997
0.142,0.7020000000000001,172235.0,0.295,5E5EesEPuWOnChiTwqBSRT,0.257,5.0,0.094,-14.697000000000001,0.0,0.157,113.102,5.0,0.428
0.114,0.4,189489.0,0.708,5NzxcQHo2Eq02jB3WB0N50,2.64e-06,1.0,0.0816,-4.343,0.0,0.0995,103.029,4.0,0.304
0.12,0.455,291310.0,0.746,1rQ18sYDwDeeR4YCXsUHF2,3.02e-05,7.0,0.106,-5.449,0.0,0.0374,145.012,4.0,0.177
0.512,0.514,202960.0,0.665,3xW0e3JrZqZeBMj19neKqg,4.34e-06,5.0,0.08800000000000001,-6.398,0.0,0.231,145.113,4.0,0.305
0.0253,0.604,245435.0,0.892,1BPpgcOSd9nilaKM46f65G,0.8490000000000001,11.0,0.0706,-4.905,0.0,0.245,144.03799999999998,4.0,0.52
0.10800000000000001,0.631,219273.0,0.8340000000000001,3vj8h1Cbjq59DQ5OMYx6L6,0.000174,0.0,0.0831,-6.542000000000001,1.0,0.102,110.016,4.0,0.14800000000000002
0.000802,0.586,193846.0,0.8270000000000001,6KI9zC5H8TmMD2z836Bqjp,0.0,8.0,0.379,-5.295,1.0,0.0697,103.991,4.0,0.256
0.275,0.5670000000000001,206944.0,0.863,0W9HGC75wwxU4YweY045ln,0.0,6.0,0.19699999999999998,-3.97,0.0,0.124,153.899,4.0,0.618
0.0279,0.765,298773.0,0.29,0Q0IVlqMV64kNLlwjPj0Hl,1.02e-06,4.0,0.5710000000000001,-17.117,0.0,0.139,92.40899999999999,4.0,0.506
0.00505,0.491,197978.0,0.9159999999999999,6AYrHFx4DQxdUQeSmAzNYr,0.0013599999999999999,4.0,0.33899999999999997,-4.945,0.0,0.0332,92.988,4.0,0.723
0.418,0.7070000000000001,180341.0,0.381,5cfy4bfiSVPc0LSBn59A2G,0.49200000000000005,4.0,0.0992,-9.485,0.0,0.0503,88.105,4.0,0.132
0.484,0.45299999999999996,206518.0,0.5579999999999999,7dvg5YratVoM7s8LoZp26D,0.00371,7.0,0.23,-6.831,1.0,0.0267,86.905,4.0,0.19699999999999998
0.0218,0.5479999999999999,260090.0,0.514,7lCxes2nCb6XNuyuZObdyI,0.009890000000000001,5.0,0.0792,-7.4639999999999995,0.0,0.0379,90.0,4.0,0.18899999999999997
0.00461,0.758,265366.0,0.563,4nxAZSsAGMlVzsBXPHsB6t,0.8640000000000001,0.0,0.10800000000000001,-9.482999999999999,1.0,0.0396,123.00200000000001,4.0,0.223
0.0862,0.484,187803.0,0.8270000000000001,14LQikoZlT6J529n1WRcPX,4.67e-06,8.0,0.22899999999999998,-5.995,0.0,0.0905,150.062,4.0,0.0604
0.34700000000000003,0.738,235826.0,0.78,159AnVj9IVGu4JmZT4ZuYe,2.74e-06,2.0,0.0632,-7.445,1.0,0.0629,115.006,4.0,0.9470000000000001
0.19399999999999998,0.8029999999999999,179301.0,0.628,5P3ZTqyQXNdTusjfb4KQ3J,1.83e-05,1.0,0.0678,-8.205,0.0,0.114,92.03,4.0,0.9279999999999999
0.168,0.7929999999999999,212889.0,0.7290000000000001,4MhP2sEfmrsxZnQEob1NdT,0.00264,8.0,0.0583,-4.562,1.0,0.0759,86.98100000000001,4.0,0.638
0.0024100000000000002,0.272,294000.0,0.632,0dbF6421u7fk6X7LUXZQtN,0.86,3.0,0.19899999999999998,-4.734,0.0,0.0318,120.001,4.0,0.0378
0.07,0.517,270040.0,0.9059999999999999,6SrKLkuqWyKxSxzvtRWvX5,0.000223,1.0,0.155,-4.349,1.0,0.0508,175.021,4.0,0.6709999999999999
0.307,0.537,232907.0,0.9420000000000001,5cZoupMHyi9H9NDGSZnPtU,0.00256,3.0,0.34299999999999997,-2.8939999999999997,1.0,0.0521,165.019,4.0,0.642
0.473,0.861,186175.0,0.657,2DPDO5dkTKa5S5EiUqaiqx,0.706,3.0,0.33299999999999996,-7.49,0.0,0.0923,146.967,4.0,0.961
0.0577,0.5670000000000001,205133.0,0.8590000000000001,0xIiNbbNegF72oYNtkJ9sS,2.57e-05,6.0,0.175,-2.839,1.0,0.26899999999999996,113.84700000000001,4.0,0.537
0.755,0.7859999999999999,207925.0,0.691,5aH36YVYQwJ5CIbZHbncAH,0.0211,11.0,0.10099999999999999,-11.015999999999998,1.0,0.0727,117.96799999999999,4.0,0.759
0.0342,0.696,204797.0,0.7290000000000001,0HqllOAngT7fF5vJVRkSg7,0.0094,1.0,0.355,-3.83,0.0,0.261,102.006,4.0,0.37799999999999995
0.0504,0.647,279560.0,0.434,5KkpSVa1x2xI9Jo70VAOw5,0.0009109999999999999,6.0,0.13,-7.7589999999999995,1.0,0.14300000000000002,90.985,4.0,0.44299999999999995
0.21899999999999997,0.851,226880.0,0.406,4kOfxxnW1ukZdsNbCKY9br,6.41e-06,1.0,0.0853,-11.630999999999998,1.0,0.0661,97.84,4.0,0.792
0.0992,0.628,201081.0,0.64,0zYqFyhiTj419q56lNsjk0,0.0,6.0,0.138,-4.164,0.0,0.049,129.815,4.0,0.409
0.0018399999999999998,0.8859999999999999,244200.0,0.47100000000000003,2PeeENw4ONKpfxWSrJ67A2,0.6920000000000001,9.0,0.105,-7.776,0.0,0.0606,124.016,4.0,0.73
0.254,0.855,230240.0,0.48,3ErsOxqe2RmXkR65wkygDz,2.1600000000000003e-05,1.0,0.151,-8.902000000000001,1.0,0.0588,97.79299999999999,4.0,0.7979999999999999
0.909,0.5870000000000001,221333.0,0.159,4z9WXbp9oQxnRtmBV8bh5X,0.00224,3.0,0.0841,-13.894,0.0,0.0738,86.895,4.0,0.177
0.0494,0.726,182951.0,0.775,1MqBckcnN45W32KSSHnylW,0.00045700000000000005,0.0,0.359,-6.903,0.0,0.0687,121.947,4.0,0.575
0.000272,0.48100000000000004,359173.0,0.977,1FJ1FP8zRSzbi64SSYTLaz,0.755,11.0,0.0547,-3.48,0.0,0.0667,126.988,4.0,0.39299999999999996
0.0685,0.7040000000000001,190031.0,0.7709999999999999,0Rkb7zZQIT7k88HEXKStZ7,0.000233,2.0,0.0869,-5.831,1.0,0.0951,119.948,4.0,0.6709999999999999
0.5,0.5489999999999999,350306.0,0.563,3J3kClnuI4TJnOzGCr1chE,0.0031899999999999997,11.0,0.107,-8.921,0.0,0.0479,99.869,4.0,0.278
0.139,0.77,230236.0,0.639,2CBtDxdTSz3MP8yUnA4Xkh,0.0,10.0,0.0863,-5.886,0.0,0.0369,120.036,4.0,0.6459999999999999
0.0177,0.509,234130.0,0.509,1hvHuq9c79smJTjP3ChabG,0.479,4.0,0.191,-10.091000000000001,0.0,0.0345,91.995,4.0,0.0722
0.00141,0.389,224471.0,0.7020000000000001,5cEZkBkieGKBN9IpxtWErh,0.59,0.0,0.0849,-8.055,1.0,0.0408,170.06099999999998,4.0,0.151
0.00969,0.516,190500.0,0.8540000000000001,5y4In7WNG50knStmctWMTB,0.39,6.0,0.522,-3.305,1.0,0.0923,160.053,4.0,0.369
0.0378,0.48,220125.0,0.795,76oe7TamIpP41P6xy57pYY,0.00213,3.0,0.11800000000000001,-4.656000000000001,1.0,0.0471,125.081,4.0,0.16
0.0554,0.48700000000000004,214194.0,0.7120000000000001,3FM0F9u4q6G4uGiu5pXIov,0.0,6.0,0.129,-4.434,0.0,0.0384,93.115,4.0,0.15
0.0353,0.66,274508.0,0.604,6hz9aBKgPEgqqhIEJNz3oZ,0.0095,1.0,0.0687,-6.747000000000001,0.0,0.0446,136.504,4.0,0.395
0.046,0.722,265462.0,0.5579999999999999,0bxoiLuzBhL2B3ODrAU6cp,0.0009310000000000001,6.0,0.188,-8.592,1.0,0.308,95.54,4.0,0.491
0.363,0.47100000000000003,238778.0,0.6990000000000001,3DjYU54tU6YCEy822r8TcY,0.000242,5.0,0.0708,-7.782,0.0,0.245,170.114,4.0,0.32899999999999996
0.0144,0.48700000000000004,263547.0,0.736,6t1PKSYCUDMZ4UYqqRpMpv,0.00132,6.0,0.254,-6.66,0.0,0.1,101.91799999999999,3.0,0.38299999999999995
0.114,0.732,251320.0,0.7170000000000001,73oamquev2r1MMkSDEjKgQ,4.72e-05,2.0,0.171,-6.19,1.0,0.191,100.007,4.0,0.491
0.409,0.65,183449.0,0.426,3jqZSHN1Uj2vSP4HQtxfkH,0.000825,11.0,0.0759,-8.906,0.0,0.113,92.991,4.0,0.341
0.483,0.528,200969.0,0.5670000000000001,3fWznKsxphsqNQ8dfc5fgn,0.0432,8.0,0.588,-10.297,1.0,0.34,97.884,4.0,0.284
0.5579999999999999,0.48100000000000004,165570.0,0.43799999999999994,5byYwy9etDprBSSz0IqU9x,0.000102,1.0,0.10400000000000001,-10.402000000000001,0.0,0.0469,143.57299999999998,4.0,0.10300000000000001
0.1,0.442,208941.0,0.767,65flXM7XbfRCY2UdBf6UrW,0.00015900000000000002,7.0,0.11199999999999999,-4.397,1.0,0.0692,84.09100000000001,4.0,0.374
0.198,0.563,219475.0,0.495,6E1ZonB1Fosz99Rg0tUBTi,9.28e-06,8.0,0.107,-7.959,0.0,0.042,121.656,4.0,0.0774
0.231,0.77,188000.0,0.782,4wE6Iw2dJU473dc8b5Rmmk,0.0,10.0,0.153,-6.688,0.0,0.11599999999999999,150.034,4.0,0.794
0.359,0.409,280842.0,0.6779999999999999,6TodWdTSDfzwgYynTZSvJn,4.76e-06,9.0,0.16699999999999998,-7.731,1.0,0.0878,89.96799999999999,4.0,0.168
0.15,0.742,227000.0,0.595,3jVtllWS5CFFWLQng8sKsr,0.0,9.0,0.111,-7.51,1.0,0.107,101.01299999999999,4.0,0.431
0.0528,0.731,204279.0,0.6970000000000001,1uHACkBD8IHBmrkTrk6You,0.0,5.0,0.128,-6.097,0.0,0.0665,128.004,4.0,0.488
0.196,0.748,199627.0,0.6579999999999999,3doVAxeH3SgWtlRMqR4eLi,0.00642,7.0,0.109,-4.656000000000001,0.0,0.0526,143.954,4.0,0.44799999999999995
0.0059700000000000005,0.888,158757.0,0.586,7D8aQaRzoi9Qzz5yerVK5b,0.0365,0.0,0.153,-6.745,1.0,0.0604,150.05100000000002,4.0,0.401
0.386,0.7979999999999999,221040.0,0.532,1kXmApTm4wonqscYBoLwxj,4.31e-05,7.0,0.196,-4.329,0.0,0.0489,96.992,4.0,0.37200000000000005
0.493,0.807,220645.0,0.53,5rX9fqEGsHnQeEEsc1Cc3J,7.070000000000001e-05,7.0,0.23600000000000002,-4.236000000000001,0.0,0.0415,97.007,4.0,0.429
0.0041,0.7490000000000001,262957.0,0.745,1LeItUMezKA1HdCHxYICed,0.395,6.0,0.0748,-7.367000000000001,0.0,0.0479,115.04799999999999,4.0,0.34700000000000003
0.179,0.515,234244.0,0.6629999999999999,59wlTaYOL5tDUgXnbBQ3my,0.6679999999999999,7.0,0.494,-7.896,0.0,0.0328,120.024,4.0,0.0756
0.005229999999999999,0.49700000000000005,207827.0,0.925,1cEDPbmrlhoVK1h6BLwBYS,0.7809999999999999,2.0,0.222,-4.489,1.0,0.0745,139.961,4.0,0.262
0.09,0.755,174286.0,0.7140000000000001,3b39d5CPaVrNZtVKCHkjF5,0.0015300000000000001,1.0,0.133,-5.284,0.0,0.0817,83.999,4.0,0.551
0.00045599999999999997,0.77,248000.0,0.922,2PRjoJf2ke279eag6ZbEN1,0.36200000000000004,1.0,0.282,-6.105,0.0,0.0557,120.007,4.0,0.868
0.245,0.366,325541.0,0.584,4uFsRI9tX0oEDIwFLAOexa,0.1,9.0,0.34,-8.829,0.0,0.0401,127.986,4.0,0.0772
0.159,0.6659999999999999,218152.0,0.721,7mkjLeqNeFLuzjcf2sOTqP,0.0886,8.0,0.0888,-7.957000000000001,1.0,0.0333,110.027,4.0,0.179
0.00139,0.41200000000000003,350872.0,0.672,1QYR1GKp59xFkLcjN7h9FR,0.428,4.0,0.0655,-5.666,1.0,0.0713,117.98899999999999,4.0,0.102
0.000204,0.665,304068.0,0.889,65aEAIfWr0ExaSfJIYo6X1,0.905,4.0,0.102,-6.555,0.0,0.0525,117.999,4.0,0.0318
0.0278,0.526,550200.0,0.6759999999999999,2W1cR62CD7HUHCMzss9rPZ,0.000314,8.0,0.245,-6.05,1.0,0.0336,99.98700000000001,4.0,0.0464
0.0006259999999999999,0.8029999999999999,326557.0,0.787,1E0jpv3SJM2zygZ6AxUzG1,0.823,2.0,0.368,-7.768,1.0,0.0549,121.986,4.0,0.442
0.601,0.436,266000.0,0.53,0MCNg9SJL7HNBkAn6Irl5m,0.8540000000000001,11.0,0.139,-9.579,1.0,0.0381,115.993,4.0,0.083
0.0434,0.542,212348.0,0.51,4Aj4oFWpggdRbNDFozhZUy,0.000349,5.0,0.0646,-7.745,0.0,0.0768,95.071,4.0,0.46799999999999997
0.287,0.669,177050.0,0.7240000000000001,3Bm0nJ3RPZqHAD0f0dV51J,0.0,1.0,0.0822,-7.947,1.0,0.142,130.034,4.0,0.414
0.0141,0.40700000000000003,247267.0,0.725,57kR5SniQIbsbVoIjjOUDa,2.46e-06,5.0,0.306,-5.346,0.0,0.188,196.093,4.0,0.247
0.0406,0.621,237800.0,0.873,5hM5arv9KDbCHS0k9uqwjr,9.1e-06,5.0,0.0824,-3.0669999999999997,0.0,0.0369,97.96,4.0,0.873
0.0947,0.37200000000000005,190058.0,0.642,1l1YTy9nJ0trwhsCGcimly,0.0,11.0,0.11699999999999999,-11.955,1.0,0.0594,198.731,4.0,0.705
0.434,0.815,264987.0,0.741,7cDzJyC95jtGO9zAeZsWOg,0.111,0.0,0.0689,-9.478,1.0,0.031,121.221,4.0,0.965
0.221,0.645,227267.0,0.598,7Ar4G7Ci11gpt6sfH9Cgz5,3.53e-06,1.0,0.0721,-13.18,0.0,0.0335,105.929,4.0,0.9129999999999999
