endTime,msPlayed,id
2019-04-07 16:47:00+00:00,6745,3pvNllGp0jKVnWo7XNz4U0
2019-04-09 00:33:00+00:00,31373,7eBjtPZlQEDmSJFL5tCkIc
2019-04-09 00:36:00+00:00,191025,2bCjaF7cRm53Wdq9RtkYJu
2019-04-09 00:39:00+00:00,181230,0UhyQ3rTGmSf64TwmKLu3i
2019-04-09 00:42:00+00:00,196520,0y60itmpH0aPKsFiGxmtnh
2019-04-09 00:46:00+00:00,224842,4JkJntZgFNvjkGg3sMRRsX
2019-04-09 00:49:00+00:00,191760,0j1BAvgZnO5LoRCsGtgYYG
2019-04-09 00:53:00+00:00,260301,0PNPNtb6hAQ9nEyh1jVaRn
2019-04-09 00:58:00+00:00,266086,1E6gKZoptibxhKZmOMCyUm
2019-04-09 01:03:00+00:00,307280,605NW6cVRpKtfbNnLnwJuB
2019-04-09 01:07:00+00:00,275846,46IE0260R6XjjrsTnvd6ug
2019-04-09 02:01:00+00:00,157617,3aDYoxrAvryBhyAbQ0PE7S
2019-04-09 21:06:00+00:00,56653,3aDYoxrAvryBhyAbQ0PE7S
2019-04-09 21:10:00+00:00,197052,4DHRbvvQyC3mBa3Y0JNl4n
2019-04-09 21:12:00+00:00,150585,7JlIY26wUmk6XVxYKDV7dq
2019-04-09 21:15:00+00:00,180000,1zjvaSKCycMyeNOHn3FYBE
2019-04-09 21:20:00+00:00,322040,7hZGA5vAK6VyMqSu4CeHQs
2019-04-09 21:23:00+00:00,171727,6Kkt27YmFyIFrcX3QXFi2o
2019-04-09 21:27:00+00:00,229800,3lv3OTkr7YVknRX1NTqYF1
2019-04-09 21:33:00+00:00,367391,1Dp7JGFNjvg8Nk0CtMCcnr
2019-04-09 21:37:00+00:00,257893,6eGMwVVABqVTe9bWRIm498
2019-04-09 21:40:00+00:00,131885,60wwxj6Dd9NJlirf84wr2c
2019-04-09 22:17:00+00:00,139539,60wwxj6Dd9NJlirf84wr2c
2019-04-09 22:20:00+00:00,228661,23kSqZLH1svrz3Hh6Fa1Yv
2019-04-09 22:23:00+00:00,175506,1ehPJRt49h6N0LoryqKZXq
2019-04-09 22:26:00+00:00,160596,3QWjljChcOMkRDYSzF33Qr
