id,name,album_id,album_name,artists,duration_ms,popularity
6mjy0ucssE70feXrqjAcoK,Till We're in the Sea,0abR9QPs48rvmV9bvDYhR1,Till We're in the Sea,{'4QDvXnbmw1znkqkK1119Fc': 'RKCB'},222711,43
1iVRueC9E8IMexNf4kEVW1,So Many Things To Tell You - Luca Lush Remix,0U5IxYQggWE1EYvZc6Xodd,So Many Things To Tell You,"{'5yKJAwjLJltKwd5xHyjX4u': 'Mark Redito', '5oAjLXTvB7VDWn3Up9LYcQ': 'Luca Lush'}",251473,7
2d9hKKKQmGxcknyMIgLVmQ,Too Much Too Late,6Y0sR4pj7mxRN0EudJnMQw,Confidently Lost,{'30DhU7BDmF4PH0JVhu8ZRg': 'Sabrina Claudio'},214668,51
2FCu1NM98eXCds1M0ikzWj,Everything All at Once,4wcUbqKSiZv4kNoJ3KOmrS,The Ineffable Truth,{'0gXx2aQ2mfovDfqCw10MQC': 'G Jones'},268160,52
2uUiB5hWAC8GwOUWzJhlwF,Mind Tricks (feat. Lafa Taylor),1mDhGuzHtRh0Bm9oraRmzE,Unlimited,"{'1JPy5PsJtkhftfdr6saN2i': 'Bassnectar', '0gXx2aQ2mfovDfqCw10MQC': 'G Jones'}",233181,46
6SnwXJTehRbJyDgTlZc1Tr,Time,4wcUbqKSiZv4kNoJ3KOmrS,The Ineffable Truth,{'0gXx2aQ2mfovDfqCw10MQC': 'G Jones'},369280,40
2gADv2wcIo5ZDLxIQJlulU,Chromatek,5cPYngKeDTubNgpXA1alat,Reflective (Part 2),"{'1JPy5PsJtkhftfdr6saN2i': 'Bassnectar', '0gXx2aQ2mfovDfqCw10MQC': 'G Jones'}",258000,38
5NRl32BO29q8xtWFvOlHZE,River Of Tears,3rDbA12I5duZnlwakqDdZa,Know-It-All (Deluxe),{'2wUjUUtkb5lvLKcGKsKqsR': 'Alessia Cara'},254506,64
72FtY82N2bYXCkQmOl3UyK,Shaking Hands,7HbPeetsMHAhebIgO2OFCX,Twenty Fifteen,{'3rB3PZ6d1hAkNFD4PhLgQk': 'B.Miles'},265006,31
78syjBKqyrvojI3R4mQuOf,Salt,7HbPeetsMHAhebIgO2OFCX,Twenty Fifteen,{'3rB3PZ6d1hAkNFD4PhLgQk': 'B.Miles'},201147,53
3wqWCtDZ6rXJYrRp9iBUqz,Traicionera (Kid X Sbm Remix) [feat. Sebastian Yatra],0xNzby8k822iZ2wfXw0FsP,Traicionera (Kid X Sbm Remix) [feat. Sebastian Yatra],"{'1OSXq97t0MA1MwnLC1ciSz': 'Kid', '10sogTUsGzLPeCcrOcEPF1': 'SBM', '07YUOmWljBTXwIseAUd9TW': 'Sebastian Yatra'}",260204,28
4g04R1vVHDW27G6x9g8ooG,Running - Dominique Jardin Remix,6hZme6eHpGnYhoZGfOMFcS,Running (Dominique Jardin Remix),"{'3rB3PZ6d1hAkNFD4PhLgQk': 'B.Miles', '2T3FdgHDnOPZ5QLriNtrYg': 'Dominique Jardin'}",179250,16
65k11si4WJPHULRJv0L0y3,Headspace,4p4wYF1OGj7Mm5qPcKIXkT,Topograph,{'0VQKssIfRKfSd7IfW3JIP1': 'Thomston'},230813,49
38Q0esC1cBceXOMigtCHSD,The Shortchange,4p4wYF1OGj7Mm5qPcKIXkT,Topograph,{'0VQKssIfRKfSd7IfW3JIP1': 'Thomston'},242573,42
4FykZvoH6CPfO9PT4S6qc9,Collarbones,4p4wYF1OGj7Mm5qPcKIXkT,Topograph,{'0VQKssIfRKfSd7IfW3JIP1': 'Thomston'},173506,31
69FXo786nRX6SROQE256RB,Acid Rain,6AS93NOEEpTJhayGi6hQZN,En-Route: Los Angeles,{'0VQKssIfRKfSd7IfW3JIP1': 'Thomston'},189614,51
